SYS,seg_id,set_id,metric,score
trans-large-ens4,xinhua-zh-01.6565::1,0,CharacTER,-0.18584070796460178
trans-large-ens4,xinhua-zh-01.6565::2,1,CharacTER,-1.0
trans-large-ens4,xinhua-zh-01.6565::3,2,CharacTER,-0.8164048865619546
trans-large-ens4,xinhua-zh-01.6565::4,3,CharacTER,-0.4736017897091722
trans-large-ens4,xinhua-zh-01.6565::5,4,CharacTER,-0.4424768370266
trans-large-ens4,xinhua-zh-01.6565::6,5,CharacTER,-0.5060975609756098
trans-large-ens4,xinhua-zh-01.6565::7,6,CharacTER,-0.4872534872534872
trans-large-ens4,xinhua-zh-01.6565::8,7,CharacTER,-1.0
trans-large-ens4,chinanews.com.102830::1,8,CharacTER,-0.4881889763779528
trans-large-ens4,chinanews.com.102830::2,9,CharacTER,-0.5641025641025641
trans-large-ens4,chinanews.com.102830::3,10,CharacTER,-0.6417959307010476
trans-large-ens4,chinanews.com.102830::4,11,CharacTER,-0.5548449612403101
trans-large-ens4,chinanews.com.102830::5,12,CharacTER,-0.5414715719063545
trans-large-ens4,chinanews.com.102830::6,13,CharacTER,-0.35714285714285715
trans-large-ens4,chinanews.com.102830::7,14,CharacTER,-0.5557795698924731
trans-large-ens4,chinanews.com.102830::8,15,CharacTER,-0.5052854122621564
trans-large-ens4,chinanews.com.102568::1,16,CharacTER,-0.61
trans-large-ens4,chinanews.com.102568::2,17,CharacTER,-0.45122887864823347
trans-large-ens4,chinanews.com.102568::3,18,CharacTER,-0.5306799336650082
trans-large-ens4,chinanews.com.102568::4,19,CharacTER,-0.4005208333333333
trans-large-ens4,chinanews.com.102568::5,20,CharacTER,-0.12938596491228072
trans-large-ens4,chinanews.com.102568::6,21,CharacTER,-1.0
trans-large-ens4,chinanews.com.102568::7,22,CharacTER,-0.1836734693877551
trans-large-ens4,chinanews.com.102568::8,23,CharacTER,-1.0
trans-large-ens4,chinanews.com.102568::9,24,CharacTER,-0.4
trans-large-ens4,chinanews.com.102568::10,25,CharacTER,-0.3283018867924528
trans-large-ens4,chinanews.com.102568::11,26,CharacTER,-0.11979166666666667
trans-large-ens4,international_times-zh.151::1,27,CharacTER,-0.3897005772005772
trans-large-ens4,international_times-zh.151::2,28,CharacTER,-0.4421768707482993
trans-large-ens4,international_times-zh.151::3,29,CharacTER,-0.5609609609609609
trans-large-ens4,international_times-zh.151::4,30,CharacTER,-0.35353535353535354
trans-large-ens4,international_times-zh.151::5,31,CharacTER,-0.16666666666666666
trans-large-ens4,chinanews.com.102642::1,32,CharacTER,-0.9409638554216867
trans-large-ens4,chinanews.com.102642::2,33,CharacTER,-0.7470824949698189
trans-large-ens4,chinanews.com.102642::3,34,CharacTER,-0.49044585987261147
trans-large-ens4,chinanews.com.102642::4,35,CharacTER,-0.3802083333333333
trans-large-ens4,chinanews.com.102642::5,36,CharacTER,-1.0
trans-large-ens4,chinanews.com.102642::6,37,CharacTER,-0.20125786163522014
trans-large-ens4,chinanews.com.102642::7,38,CharacTER,-0.9879699248120302
trans-large-ens4,chinanews.com.102642::8,39,CharacTER,-0.6183206106870229
trans-large-ens4,xinhua-zh-01.6446::1,40,CharacTER,-0.03508771929824561
trans-large-ens4,xinhua-zh-01.6446::2,41,CharacTER,-0.5654761904761905
trans-large-ens4,xinhua-zh-01.6446::3,42,CharacTER,-0.8944099378881988
trans-large-ens4,xinhua-zh-01.6446::4,43,CharacTER,-0.44010416666666663
trans-large-ens4,xinhua-zh-01.6446::5,44,CharacTER,-0.275
trans-large-ens4,xinhua-zh-01.6446::6,45,CharacTER,-0.3584905660377358
trans-large-ens4,xinhua-zh-01.6446::7,46,CharacTER,-0.01639344262295082
trans-large-ens4,chinanews.com.102876::1,47,CharacTER,-0.3902439024390244
trans-large-ens4,chinanews.com.102876::2,48,CharacTER,-0.7770833333333333
trans-large-ens4,chinanews.com.102876::3,49,CharacTER,-0.6969512195121951
trans-large-ens4,chinanews.com.102876::4,50,CharacTER,-0.615
trans-large-ens4,chinanews.com.102876::5,51,CharacTER,-0.7294117647058823
trans-large-ens4,chinanews.com.102876::6,52,CharacTER,-0.43636363636363634
trans-large-ens4,chinanews.com.102876::7,53,CharacTER,-0.67356369121075
trans-large-ens4,chinanews.com.102876::8,54,CharacTER,-0.810126582278481
trans-large-ens4,chinanews.com.102876::9,55,CharacTER,-0.6382146709816612
trans-large-ens4,chinanews.com.102876::10,56,CharacTER,-0.592
trans-large-ens4,chinanews.com.102876::11,57,CharacTER,-0.4397590361445783
trans-large-ens4,chinanews.com.102876::12,58,CharacTER,-0.9151785714285714
trans-large-ens4,chinanews.com.102876::13,59,CharacTER,-0.6431372549019608
trans-large-ens4,chinanews.com.102876::14,60,CharacTER,-0.9865406643757159
trans-large-ens4,chinanews.com.102876::15,61,CharacTER,-0.5163366336633664
trans-large-ens4,chinanews.com.102876::16,62,CharacTER,-0.5137614678899083
trans-large-ens4,chinanews.com.102876::17,63,CharacTER,-0.8265700483091787
trans-large-ens4,chinese.macao.1081::1,64,CharacTER,-0.44610778443113774
trans-large-ens4,chinese.macao.1081::2,65,CharacTER,-0.9308712121212122
trans-large-ens4,chinese.macao.1081::3,66,CharacTER,-0.6754807692307693
trans-large-ens4,chinese.macao.1081::4,67,CharacTER,-0.6020599250936329
trans-large-ens4,chinese.macao.1081::5,68,CharacTER,-1.0
trans-large-ens4,chinese.macao.1081::6,69,CharacTER,-0.22330097087378642
trans-large-ens4,chinese.macao.1081::7,70,CharacTER,-0.5226310726310727
trans-large-ens4,chinese.macao.1081::8,71,CharacTER,-0.625
trans-large-ens4,chinese.macao.1081::9,72,CharacTER,-0.6047353184449958
trans-large-ens4,chinese.macao.1081::10,73,CharacTER,-0.4398148148148148
trans-large-ens4,chinese.macao.1081::11,74,CharacTER,-0.22727272727272727
