SYS,seg_id,set_id,metric,score
trans-base,xinhua-zh-01.6565::1,0,BERTScore,0.9701415300369263
trans-base,xinhua-zh-01.6565::2,1,BERTScore,0.9255639314651489
trans-base,xinhua-zh-01.6565::3,2,BERTScore,0.946148693561554
trans-base,xinhua-zh-01.6565::4,3,BERTScore,0.9536470174789429
trans-base,xinhua-zh-01.6565::5,4,BERTScore,0.9217902421951294
trans-base,xinhua-zh-01.6565::6,5,BERTScore,0.9780998229980469
trans-base,xinhua-zh-01.6565::7,6,BERTScore,0.9082672595977783
trans-base,xinhua-zh-01.6565::8,7,BERTScore,0.9076204299926758
trans-base,chinanews.com.102830::1,8,BERTScore,0.892703652381897
trans-base,chinanews.com.102830::2,9,BERTScore,0.9039070010185242
trans-base,chinanews.com.102830::3,10,BERTScore,0.9295052289962769
trans-base,chinanews.com.102830::4,11,BERTScore,0.9249327778816223
trans-base,chinanews.com.102830::5,12,BERTScore,0.908403217792511
trans-base,chinanews.com.102830::6,13,BERTScore,0.9549615979194641
trans-base,chinanews.com.102830::7,14,BERTScore,0.9284022450447083
trans-base,chinanews.com.102830::8,15,BERTScore,0.9178455471992493
trans-base,chinanews.com.102568::1,16,BERTScore,0.9454214572906494
trans-base,chinanews.com.102568::2,17,BERTScore,0.9445449709892273
trans-base,chinanews.com.102568::3,18,BERTScore,0.9286037087440491
trans-base,chinanews.com.102568::4,19,BERTScore,0.9534575343132019
trans-base,chinanews.com.102568::5,20,BERTScore,0.9185087084770203
trans-base,chinanews.com.102568::6,21,BERTScore,0.898832380771637
trans-base,chinanews.com.102568::7,22,BERTScore,0.9569259881973267
trans-base,chinanews.com.102568::8,23,BERTScore,0.953260064125061
trans-base,chinanews.com.102568::9,24,BERTScore,0.9322521686553955
trans-base,chinanews.com.102568::10,25,BERTScore,0.9635376930236816
trans-base,chinanews.com.102568::11,26,BERTScore,0.9828823804855347
trans-base,international_times-zh.151::1,27,BERTScore,0.9489485025405884
trans-base,international_times-zh.151::2,28,BERTScore,0.946530818939209
trans-base,international_times-zh.151::3,29,BERTScore,0.976019024848938
trans-base,international_times-zh.151::4,30,BERTScore,0.9760028719902039
trans-base,international_times-zh.151::5,31,BERTScore,0.983076274394989
trans-base,chinanews.com.102642::1,32,BERTScore,0.912329912185669
trans-base,chinanews.com.102642::2,33,BERTScore,0.9342802166938782
trans-base,chinanews.com.102642::3,34,BERTScore,0.9226049780845642
trans-base,chinanews.com.102642::4,35,BERTScore,0.970594048500061
trans-base,chinanews.com.102642::5,36,BERTScore,0.9204946160316467
trans-base,chinanews.com.102642::6,37,BERTScore,0.9698665738105774
trans-base,chinanews.com.102642::7,38,BERTScore,0.9132066965103149
trans-base,chinanews.com.102642::8,39,BERTScore,0.9521591067314148
trans-base,xinhua-zh-01.6446::1,40,BERTScore,0.9908645153045654
trans-base,xinhua-zh-01.6446::2,41,BERTScore,0.935880720615387
trans-base,xinhua-zh-01.6446::3,42,BERTScore,0.955937385559082
trans-base,xinhua-zh-01.6446::4,43,BERTScore,0.9155444502830505
trans-base,xinhua-zh-01.6446::5,44,BERTScore,0.9937261343002319
trans-base,xinhua-zh-01.6446::6,45,BERTScore,0.9556515216827393
trans-base,xinhua-zh-01.6446::7,46,BERTScore,1.000000238418579
trans-base,chinanews.com.102876::1,47,BERTScore,0.9425589442253113
trans-base,chinanews.com.102876::2,48,BERTScore,0.8993980884552002
trans-base,chinanews.com.102876::3,49,BERTScore,0.9093858599662781
trans-base,chinanews.com.102876::4,50,BERTScore,0.9319717884063721
trans-base,chinanews.com.102876::5,51,BERTScore,0.902235209941864
trans-base,chinanews.com.102876::6,52,BERTScore,0.924798846244812
trans-base,chinanews.com.102876::7,53,BERTScore,0.9217305779457092
trans-base,chinanews.com.102876::8,54,BERTScore,0.9429520964622498
trans-base,chinanews.com.102876::9,55,BERTScore,0.910226583480835
trans-base,chinanews.com.102876::10,56,BERTScore,0.9017177224159241
trans-base,chinanews.com.102876::11,57,BERTScore,0.9528006911277771
trans-base,chinanews.com.102876::12,58,BERTScore,0.9362569451332092
trans-base,chinanews.com.102876::13,59,BERTScore,0.8978391885757446
trans-base,chinanews.com.102876::14,60,BERTScore,0.8760025501251221
trans-base,chinanews.com.102876::15,61,BERTScore,0.9093449115753174
trans-base,chinanews.com.102876::16,62,BERTScore,0.9175434112548828
trans-base,chinanews.com.102876::17,63,BERTScore,0.8816498517990112
trans-base,chinese.macao.1081::1,64,BERTScore,0.9359343647956848
trans-base,chinese.macao.1081::2,65,BERTScore,0.9306054711341858
trans-base,chinese.macao.1081::3,66,BERTScore,0.9222887754440308
trans-base,chinese.macao.1081::4,67,BERTScore,0.950213611125946
trans-base,chinese.macao.1081::5,68,BERTScore,0.9345868825912476
trans-base,chinese.macao.1081::6,69,BERTScore,0.9589466452598572
trans-base,chinese.macao.1081::7,70,BERTScore,0.9264060258865356
trans-base,chinese.macao.1081::8,71,BERTScore,0.8999589681625366
trans-base,chinese.macao.1081::9,72,BERTScore,0.9248345494270325
trans-base,chinese.macao.1081::10,73,BERTScore,0.9206742644309998
trans-base,chinese.macao.1081::11,74,BERTScore,0.9593754410743713
trans-base,chinese.macao.1081::12,75,BERTScore,0.9482406973838806
trans-base,xinhua-zh-01.6632::1,76,BERTScore,0.9188864231109619
trans-base,xinhua-zh-01.6632::2,77,BERTScore,0.9516589641571045
trans-base,xinhua-zh-01.6632::3,78,BERTScore,0.9251412153244019
trans-base,xinhua-zh-01.6632::4,79,BERTScore,0.9588839411735535
trans-base,xinhua-zh-01.6632::5,80,BERTScore,0.9828049540519714
trans-base,xinhua-zh-01.6632::6,81,BERTScore,0.8969743847846985
trans-base,xinhua-zh-01.6632::7,82,BERTScore,0.9487945437431335
trans-base,xinhua-zh-01.6632::8,83,BERTScore,0.8771796822547913
trans-base,xinhua-zh-01.6632::9,84,BERTScore,0.942976713180542
trans-base,xinhua-zh-01.6632::10,85,BERTScore,0.8838953971862793
