SYS,seg_id,set_id,metric,score
zlabs-nlp.179,independent.281139::1,0,Prism-ref,-1.8074005
zlabs-nlp.179,independent.281139::2,1,Prism-ref,-1.065955
zlabs-nlp.179,independent.281139::3,2,Prism-ref,-1.2151752
zlabs-nlp.179,independent.281139::4,3,Prism-ref,-1.709923
zlabs-nlp.179,independent.281139::5,4,Prism-ref,-1.2174048
zlabs-nlp.179,independent.281139::6,5,Prism-ref,-1.4785347
zlabs-nlp.179,independent.281139::7,6,Prism-ref,-1.7518411
zlabs-nlp.179,independent.281139::8,7,Prism-ref,-0.4856707
zlabs-nlp.179,independent.281139::9,8,Prism-ref,-0.68964314
zlabs-nlp.179,independent.281139::10,9,Prism-ref,-0.8246728
zlabs-nlp.179,independent.281139::11,10,Prism-ref,-1.0178579
zlabs-nlp.179,independent.281139::12,11,Prism-ref,-0.81620055
zlabs-nlp.179,independent.281139::13,12,Prism-ref,-1.1951425
zlabs-nlp.179,en.ndtv.com.13152::1,13,Prism-ref,-2.1765537
zlabs-nlp.179,en.ndtv.com.13152::2,14,Prism-ref,-0.5255223
zlabs-nlp.179,en.ndtv.com.13152::3,15,Prism-ref,-1.1504121
zlabs-nlp.179,en.ndtv.com.13152::4,16,Prism-ref,-1.4509108
zlabs-nlp.179,en.ndtv.com.13152::5,17,Prism-ref,-0.6837392
zlabs-nlp.179,en.ndtv.com.13152::6,18,Prism-ref,-0.843279
zlabs-nlp.179,en.ndtv.com.13152::7,19,Prism-ref,-0.7534381
zlabs-nlp.179,en.ndtv.com.13152::8,20,Prism-ref,-0.9415562
zlabs-nlp.179,en.ndtv.com.13152::9,21,Prism-ref,-1.0728736
zlabs-nlp.179,en.ndtv.com.13152::10,22,Prism-ref,-0.87419134
zlabs-nlp.179,en.ndtv.com.13152::11,23,Prism-ref,-0.9001702
zlabs-nlp.179,cnn.385674::1,24,Prism-ref,-0.55057317
zlabs-nlp.179,cnn.385674::2,25,Prism-ref,-0.98188925
zlabs-nlp.179,cnn.385674::3,26,Prism-ref,-1.060817
zlabs-nlp.179,cnn.385674::4,27,Prism-ref,-2.1996896
zlabs-nlp.179,cnn.385674::5,28,Prism-ref,-1.4889615
zlabs-nlp.179,cnn.385674::6,29,Prism-ref,-1.727799
zlabs-nlp.179,cnn.385674::7,30,Prism-ref,-0.7334639
zlabs-nlp.179,cnn.385674::8,31,Prism-ref,-0.82321155
zlabs-nlp.179,cnn.385674::9,32,Prism-ref,-0.8165367
zlabs-nlp.179,cnn.385674::10,33,Prism-ref,-1.5895557
zlabs-nlp.179,seattle_times.7755::1,34,Prism-ref,-1.928386
zlabs-nlp.179,seattle_times.7755::2,35,Prism-ref,-1.5949224
zlabs-nlp.179,seattle_times.7755::3,36,Prism-ref,-1.2426529
zlabs-nlp.179,seattle_times.7755::4,37,Prism-ref,-0.77686167
zlabs-nlp.179,seattle_times.7755::5,38,Prism-ref,-1.1090751
zlabs-nlp.179,seattle_times.7755::6,39,Prism-ref,-1.6457216
zlabs-nlp.179,reuters.276709::1,40,Prism-ref,-1.7265224
zlabs-nlp.179,reuters.276709::2,41,Prism-ref,-0.78533936
zlabs-nlp.179,reuters.276709::3,42,Prism-ref,-1.2579117
zlabs-nlp.179,reuters.276709::4,43,Prism-ref,-0.7331309
zlabs-nlp.179,reuters.276709::5,44,Prism-ref,-0.9165881
zlabs-nlp.179,reuters.276709::6,45,Prism-ref,-0.76847136
zlabs-nlp.179,reuters.276709::7,46,Prism-ref,-0.8280598
zlabs-nlp.179,reuters.276709::8,47,Prism-ref,-0.9881536
zlabs-nlp.179,reuters.276709::9,48,Prism-ref,-1.3128879
zlabs-nlp.179,reuters.276709::10,49,Prism-ref,-0.80166006
zlabs-nlp.179,reuters.276709::11,50,Prism-ref,-1.2467082
zlabs-nlp.179,reuters.276709::12,51,Prism-ref,-0.88859856
zlabs-nlp.179,reuters.276709::13,52,Prism-ref,-0.8792447
zlabs-nlp.179,rt.com.113906::1,53,Prism-ref,-0.64646876
zlabs-nlp.179,rt.com.113906::2,54,Prism-ref,-0.6958537
zlabs-nlp.179,rt.com.113906::3,55,Prism-ref,-3.0514727
zlabs-nlp.179,rt.com.113906::4,56,Prism-ref,-0.6983503
zlabs-nlp.179,rt.com.113906::5,57,Prism-ref,-0.51114464
