SYS,seg_id,set_id,metric,score
trans-large,xinhua-zh-01.6565::1,0,BERTScore,0.9672916531562805
trans-large,xinhua-zh-01.6565::2,1,BERTScore,0.9274699091911316
trans-large,xinhua-zh-01.6565::3,2,BERTScore,0.9502801895141602
trans-large,xinhua-zh-01.6565::4,3,BERTScore,0.940079927444458
trans-large,xinhua-zh-01.6565::5,4,BERTScore,0.9387920498847961
trans-large,xinhua-zh-01.6565::6,5,BERTScore,0.9742614030838013
trans-large,xinhua-zh-01.6565::7,6,BERTScore,0.9463537335395813
trans-large,xinhua-zh-01.6565::8,7,BERTScore,0.9084416031837463
trans-large,chinanews.com.102830::1,8,BERTScore,0.909064769744873
trans-large,chinanews.com.102830::2,9,BERTScore,0.9193723201751709
trans-large,chinanews.com.102830::3,10,BERTScore,0.934047520160675
trans-large,chinanews.com.102830::4,11,BERTScore,0.9233243465423584
trans-large,chinanews.com.102830::5,12,BERTScore,0.9063755869865417
trans-large,chinanews.com.102830::6,13,BERTScore,0.9515273571014404
trans-large,chinanews.com.102830::7,14,BERTScore,0.9167689681053162
trans-large,chinanews.com.102830::8,15,BERTScore,0.9351276159286499
trans-large,chinanews.com.102568::1,16,BERTScore,0.948407769203186
trans-large,chinanews.com.102568::2,17,BERTScore,0.9685250520706177
trans-large,chinanews.com.102568::3,18,BERTScore,0.9390390515327454
trans-large,chinanews.com.102568::4,19,BERTScore,0.9436290860176086
trans-large,chinanews.com.102568::5,20,BERTScore,0.9628914594650269
trans-large,chinanews.com.102568::6,21,BERTScore,0.9043512940406799
trans-large,chinanews.com.102568::7,22,BERTScore,0.9346554279327393
trans-large,chinanews.com.102568::8,23,BERTScore,0.9226702451705933
trans-large,chinanews.com.102568::9,24,BERTScore,0.9648788571357727
trans-large,chinanews.com.102568::10,25,BERTScore,0.9670871496200562
trans-large,chinanews.com.102568::11,26,BERTScore,0.9739028811454773
trans-large,international_times-zh.151::1,27,BERTScore,0.9511423707008362
trans-large,international_times-zh.151::2,28,BERTScore,0.9434756636619568
trans-large,international_times-zh.151::3,29,BERTScore,0.9726085662841797
